#{"t_start": 1763426090.0316086, "env_id": "None"}
r,l,t
-1.504403,220,240.060221
-8.758157,378,241.855548
-4.837529,288,242.455483
-5.369954,320,244.614385
-7.118116,263,245.275223
-9.020098,393,246.218282
-0.289352,164,246.726661
-0.197292,160,247.055111
-2.492922,228,248.418596
0.177617,92,248.613884
-5.354794,278,249.264749
-0.667134,168,249.796921
-4.476024,248,250.364036
-1.787538,212,250.871396
-0.99568,192,251.269376
-3.918683,234,251.837557
-10.631191,444,255.132129
-1.348599,236,258.396059
-0.515654,192,259.832719
-1.319235,208,261.257137
-10.357514,390,263.000247
0.15597,88,263.237824
-14.125258,403,265.931235
0.053934,120,266.697002
-1.083827,160,267.545321
0.21868,64,268.129789
-2.506877,268,270.070996
-9.367804,366,274.844211
-7.931147,318,278.820664
-4.196385,332,284.292328
-2.169102,228,284.969136
-3.676826,296,285.892903
-1.122693,180,286.666994
-5.335071,356,288.266647
0.232731,124,288.796649
-8.506305,388,290.298037
-4.348605,292,291.71417
-2.108003,188,292.169476
-0.01663,164,292.816803
-7.812756,346,294.050008
-1.852516,228,294.716712
-8.448498,355,297.38211
-4.074595,226,298.092903
-0.461324,188,301.093001
-2.12476,232,301.779565
-1.261106,260,302.420557
-4.301097,246,304.293578
-1.180715,180,304.934154
-0.665546,220,306.1447
-0.425128,172,306.759034
-2.235679,256,307.79162
0.052082,92,310.064818
-1.147888,204,310.910064
-3.687686,288,312.218869
-1.757648,224,313.367264
-2.100087,224,314.252974
-0.179122,140,314.750311
-5.038734,340,315.910799
-9.068604,384,317.058233
-3.680869,268,318.873338
-0.612921,188,319.372235
-6.45697,310,320.146014
0.244049,128,320.422547
-0.111248,176,320.04003
-0.174184,160,320.405652
-0.269556,140,320.666401
-2.644374,220,321.180491
0.207435,104,321.389957
-3.090842,256,322.229299
-0.61605,188,322.627129
-3.935238,226,324.195447
0.352263,80,324.378481
-0.909036,176,324.861148
-8.232391,380,325.791765
-1.226998,244,326.231982
-2.761405,264,326.993618
-7.424262,368,327.709989
-0.39978,188,328.140619
-6.860881,352,329.955926
-10.406428,343,330.905897
-4.881403,278,331.455088
-1.083548,180,331.947249
-5.144369,292,332.605274
-5.608565,233,333.161119
-2.78959,284,333.750308
0.242203,64,333.863944
-1.880783,228,334.345514
-1.981344,252,337.28915
-8.889587,334,337.986154
-2.628406,236,338.457878
-0.639868,168,338.777001
-6.00231,364,339.620291
0.458132,96,339.788959
-8.085086,336,340.56701
-5.021121,320,342.100825
-4.593039,296,342.781305
